locus_tag	ftype	length_bp	gene	EC_number	COG	product
HFFIBJOL_00099	CDS	1269		2.3.1.-	COG0304	Actinorhodin polyketide putative beta-ketoacyl synthase 2
HFFIBJOL_00100	CDS	288				Oxytetracycline polyketide synthase acyl carrier protein
HFFIBJOL_00101	CDS	1839	asnO_1	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 3
HFFIBJOL_00102	CDS	1257	oxyE_1	1.14.13.232		6-methylpretetramide 4-monooxygenase
HFFIBJOL_00103	CDS	1038	mmcR_1	2.1.1.316		Mitomycin biosynthesis 6-O-methyltransferase
HFFIBJOL_00104	CDS	1935	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
HFFIBJOL_00105	CDS	453				hypothetical protein
HFFIBJOL_00106	CDS	792	actIII	1.3.1.-		Putative ketoacyl reductase
HFFIBJOL_00107	CDS	954				hypothetical protein
HFFIBJOL_00108	CDS	1674	oxyL	1.14.13.232		6-methylpretetramide 4-monooxygenase
HFFIBJOL_00109	CDS	759	fabL	1.3.1.104		Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL
HFFIBJOL_00110	CDS	774	kynB	3.5.1.9		Kynurenine formamidase
HFFIBJOL_00111	CDS	1038				hypothetical protein
HFFIBJOL_00112	CDS	1023	ppsE_1	2.3.1.41	COG3321	Phthiocerol synthesis polyketide synthase type I PpsE
HFFIBJOL_00113	CDS	1080	dapL_1	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
HFFIBJOL_00114	CDS	429	oxyR_1	1.3.98.4		5a,11a-dehydrotetracycline/5a,11a-dehydrooxytetracycline reductase
HFFIBJOL_00115	CDS	1512	oxyS_1	1.14.13.234		12-dehydrotetracycline 5-monooxygenase/anhydrotetracycline 6-monooxygenase
HFFIBJOL_00116	CDS	1035	oxyT	2.1.1.335		N,N-dimethyltransferase OxyT
HFFIBJOL_00117	CDS	1986	otr(A)			tetracycline resistance ribosomal protection protein Otr(A)
HFFIBJOL_00118	CDS	714	lnrK_1		COG2197	Transcriptional regulatory protein LnrK
HFFIBJOL_00119	CDS	816				hypothetical protein
HFFIBJOL_00120	CDS	906				hypothetical protein
HFFIBJOL_00121	CDS	243				hypothetical protein
HFFIBJOL_00122	CDS	495				hypothetical protein
HFFIBJOL_00123	CDS	594				hypothetical protein
HFFIBJOL_00124	CDS	1251	mycG_1	1.14.-.-		Mycinamicin IV hydroxylase/epoxidase
HFFIBJOL_00125	CDS	873		2.1.1.255		Geranyl diphosphate 2-C-methyltransferase
HFFIBJOL_00126	CDS	1062		4.2.3.118		2-methylisoborneol synthase
HFFIBJOL_00127	CDS	1455				hypothetical protein
HFFIBJOL_00128	CDS	444		1.1.98.-		F420H(2)-dependent quinone reductase
HFFIBJOL_00129	CDS	528				hypothetical protein
HFFIBJOL_00130	CDS	474				hypothetical protein
HFFIBJOL_00131	CDS	888				hypothetical protein
HFFIBJOL_00132	CDS	483	gyrB_1	5.6.2.2		DNA gyrase subunit B
HFFIBJOL_00133	CDS	2091	gyrBR_1	5.6.2.2		DNA gyrase subunit B, novobiocin-resistant
HFFIBJOL_00134	CDS	1287				hypothetical protein
HFFIBJOL_00135	CDS	447				hypothetical protein
HFFIBJOL_00136	CDS	669	cmoM_1	2.1.1.-		tRNA 5-carboxymethoxyuridine methyltransferase
HFFIBJOL_00137	CDS	2568				hypothetical protein
HFFIBJOL_00138	CDS	3519				hypothetical protein
HFFIBJOL_00139	CDS	840				hypothetical protein
HFFIBJOL_00140	CDS	1302				hypothetical protein
HFFIBJOL_00141	CDS	1428				hypothetical protein
HFFIBJOL_00142	CDS	774				hypothetical protein
HFFIBJOL_00143	CDS	525				hypothetical protein
HFFIBJOL_00144	CDS	183				hypothetical protein
HFFIBJOL_00145	CDS	879	pcm_1	2.1.1.77		Protein-L-isoaspartate O-methyltransferase
HFFIBJOL_00146	CDS	135				hypothetical protein
HFFIBJOL_00147	CDS	396				hypothetical protein
HFFIBJOL_00148	CDS	1974				hypothetical protein
HFFIBJOL_00149	CDS	339				hypothetical protein
HFFIBJOL_00150	CDS	945				hypothetical protein
HFFIBJOL_00151	CDS	468				hypothetical protein
HFFIBJOL_00152	CDS	513				hypothetical protein
HFFIBJOL_00153	CDS	276				hypothetical protein
HFFIBJOL_00154	CDS	729				hypothetical protein
HFFIBJOL_00155	CDS	165				hypothetical protein
HFFIBJOL_00156	CDS	1071				hypothetical protein
HFFIBJOL_00157	CDS	783				hypothetical protein
HFFIBJOL_00158	CDS	201				hypothetical protein
HFFIBJOL_00159	CDS	258				hypothetical protein
HFFIBJOL_00160	CDS	630	thpR_1	3.1.4.58		RNA 2',3'-cyclic phosphodiesterase
HFFIBJOL_00161	CDS	714				hypothetical protein
HFFIBJOL_00162	CDS	96				hypothetical protein
HFFIBJOL_00163	CDS	603	pikAII	2.3.1.239		Narbonolide/10-deoxymethynolide synthase PikA2, modules 3 and 4
HFFIBJOL_00164	CDS	219				hypothetical protein
HFFIBJOL_00165	CDS	240				hypothetical protein
HFFIBJOL_00166	CDS	129				hypothetical protein
HFFIBJOL_00167	CDS	693				hypothetical protein
HFFIBJOL_00168	CDS	729				hypothetical protein
HFFIBJOL_00169	CDS	768				hypothetical protein
HFFIBJOL_00170	CDS	729				hypothetical protein
HFFIBJOL_00171	CDS	348				hypothetical protein
HFFIBJOL_00172	CDS	996				hypothetical protein
HFFIBJOL_00173	CDS	483	sigF_1		COG1191	RNA polymerase sigma factor SigF
HFFIBJOL_00174	CDS	381				hypothetical protein
HFFIBJOL_00175	CDS	1443				hypothetical protein
HFFIBJOL_00176	CDS	174				hypothetical protein
HFFIBJOL_00177	CDS	189				hypothetical protein
HFFIBJOL_00178	CDS	837				hypothetical protein
HFFIBJOL_00179	CDS	1152		1.-.-.-	COG1018	NADPH oxidoreductase
HFFIBJOL_00180	CDS	1143	desA3	1.14.19.-	COG3239	NADPH-dependent stearoyl-CoA 9-desaturase
HFFIBJOL_00181	CDS	555				hypothetical protein
HFFIBJOL_00182	CDS	384				hypothetical protein
HFFIBJOL_00183	CDS	459				hypothetical protein
HFFIBJOL_00184	CDS	999				hypothetical protein
HFFIBJOL_00185	CDS	147				hypothetical protein
HFFIBJOL_00186	CDS	249				hypothetical protein
HFFIBJOL_00187	CDS	588				hypothetical protein
HFFIBJOL_00188	CDS	405				IS701 family transposase ISRhosp4
HFFIBJOL_00189	CDS	381			COG3039	IS5 family transposase ISSgr2
HFFIBJOL_00190	CDS	555				hypothetical protein
HFFIBJOL_00191	CDS	312			COG3039	IS5 family transposase ISSan1
HFFIBJOL_00192	CDS	279				hypothetical protein
HFFIBJOL_00193	CDS	567				hypothetical protein
HFFIBJOL_00194	CDS	471				hypothetical protein
HFFIBJOL_00195	CDS	1791	ltrA_1		COG3344	Group II intron-encoded protein LtrA
HFFIBJOL_00196	CDS	1203				IS110 family transposase ISSam1
HFFIBJOL_00197	CDS	555				hypothetical protein
HFFIBJOL_00198	CDS	738				hypothetical protein
HFFIBJOL_00199	CDS	708				hypothetical protein
HFFIBJOL_00200	CDS	636				hypothetical protein
HFFIBJOL_00201	CDS	438	sapA			Spore-associated protein A
HFFIBJOL_00202	CDS	486				hypothetical protein
HFFIBJOL_00203	CDS	183				hypothetical protein
HFFIBJOL_00204	CDS	276				hypothetical protein
HFFIBJOL_00205	CDS	1386				hypothetical protein
HFFIBJOL_00206	CDS	1155	xerC_1			Tyrosine recombinase XerC
HFFIBJOL_00207	CDS	573				hypothetical protein
HFFIBJOL_00208	CDS	1575				hypothetical protein
HFFIBJOL_00209	CDS	162				hypothetical protein
HFFIBJOL_00210	CDS	1338				hypothetical protein
HFFIBJOL_00211	CDS	543	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
HFFIBJOL_00212	CDS	1323				hypothetical protein
HFFIBJOL_00213	CDS	921				hypothetical protein
HFFIBJOL_00214	CDS	237				hypothetical protein
HFFIBJOL_00215	CDS	504				hypothetical protein
HFFIBJOL_00216	CDS	420				hypothetical protein
HFFIBJOL_00217	CDS	477				hypothetical protein
HFFIBJOL_00218	CDS	615				hypothetical protein
HFFIBJOL_00219	CDS	243				hypothetical protein
HFFIBJOL_00220	CDS	1038				hypothetical protein
HFFIBJOL_00221	CDS	525				hypothetical protein
HFFIBJOL_00222	CDS	672				hypothetical protein
HFFIBJOL_00223	CDS	1578				hypothetical protein
HFFIBJOL_00224	CDS	132				hypothetical protein
HFFIBJOL_00225	CDS	231				hypothetical protein
HFFIBJOL_00226	CDS	1242				hypothetical protein
HFFIBJOL_00227	CDS	849				hypothetical protein
HFFIBJOL_00228	CDS	210				hypothetical protein
HFFIBJOL_00229	CDS	276				hypothetical protein
HFFIBJOL_00230	CDS	690				hypothetical protein
HFFIBJOL_00231	CDS	624	arpA_1			A-factor receptor protein
HFFIBJOL_00232	CDS	1362				hypothetical protein
HFFIBJOL_00233	CDS	147				hypothetical protein
HFFIBJOL_00234	CDS	891				hypothetical protein
HFFIBJOL_00235	CDS	708				hypothetical protein
HFFIBJOL_00236	CDS	642	whiB_1			Transcriptional regulator WhiB
HFFIBJOL_00237	CDS	1557				hypothetical protein
HFFIBJOL_00238	CDS	192				hypothetical protein
HFFIBJOL_00239	CDS	234				hypothetical protein
HFFIBJOL_00240	CDS	525				hypothetical protein
HFFIBJOL_00241	CDS	1719				hypothetical protein
HFFIBJOL_00242	CDS	402				hypothetical protein
HFFIBJOL_00243	CDS	693				hypothetical protein
HFFIBJOL_00244	CDS	285				hypothetical protein
HFFIBJOL_00245	CDS	123				hypothetical protein
HFFIBJOL_00246	CDS	300				hypothetical protein
HFFIBJOL_00247	CDS	1779	ltrA_2		COG3344	Group II intron-encoded protein LtrA
HFFIBJOL_00248	CDS	162				hypothetical protein
HFFIBJOL_00249	CDS	273				hypothetical protein
HFFIBJOL_00250	CDS	822				hypothetical protein
HFFIBJOL_00251	CDS	291				hypothetical protein
HFFIBJOL_00252	CDS	285				hypothetical protein
HFFIBJOL_00253	CDS	150				hypothetical protein
HFFIBJOL_00254	CDS	228				hypothetical protein
HFFIBJOL_00255	CDS	408				hypothetical protein
HFFIBJOL_00256	CDS	7440	pks5	2.3.1.-	COG3321	Mycocerosic acid synthase-like polyketide synthase
HFFIBJOL_00257	CDS	381				hypothetical protein
HFFIBJOL_00258	CDS	1029				hypothetical protein
HFFIBJOL_00259	CDS	480				hypothetical protein
HFFIBJOL_00260	CDS	873				hypothetical protein
HFFIBJOL_00261	CDS	1230	purD_1	6.3.4.13		Phosphoribosylamine--glycine ligase
HFFIBJOL_00262	CDS	333				hypothetical protein
HFFIBJOL_00263	CDS	1224				hypothetical protein
HFFIBJOL_00264	CDS	513				hypothetical protein
HFFIBJOL_00265	CDS	834				hypothetical protein
HFFIBJOL_00266	CDS	396				hypothetical protein
HFFIBJOL_00267	CDS	444				hypothetical protein
HFFIBJOL_00268	CDS	444				hypothetical protein
HFFIBJOL_00269	CDS	348				hypothetical protein
HFFIBJOL_00270	CDS	786				hypothetical protein
HFFIBJOL_00271	CDS	702				hypothetical protein
HFFIBJOL_00272	CDS	480				hypothetical protein
HFFIBJOL_00273	CDS	657				hypothetical protein
HFFIBJOL_00274	CDS	756	dpnA	2.1.1.72		Modification methylase DpnIIB
HFFIBJOL_00275	CDS	1122				hypothetical protein
HFFIBJOL_00276	CDS	312				hypothetical protein
HFFIBJOL_00277	CDS	669				hypothetical protein
HFFIBJOL_00278	CDS	1362				hypothetical protein
HFFIBJOL_00279	CDS	1473				hypothetical protein
HFFIBJOL_00280	CDS	453				hypothetical protein
HFFIBJOL_00281	CDS	1509				hypothetical protein
HFFIBJOL_00282	CDS	567				hypothetical protein
HFFIBJOL_00283	CDS	789				hypothetical protein
HFFIBJOL_00284	CDS	615				hypothetical protein
HFFIBJOL_00285	CDS	681				hypothetical protein
HFFIBJOL_00286	tRNA	95				tRNA-Thr(cgt)
HFFIBJOL_00287	CDS	456				hypothetical protein
HFFIBJOL_00288	CDS	345				hypothetical protein
HFFIBJOL_00289	CDS	1107				hypothetical protein
HFFIBJOL_00290	CDS	756			COG3039	IS5 family transposase IS1373
HFFIBJOL_00291	CDS	618				hypothetical protein
HFFIBJOL_00292	CDS	534				hypothetical protein
HFFIBJOL_00293	CDS	498				hypothetical protein
HFFIBJOL_00294	CDS	438				hypothetical protein
HFFIBJOL_00295	CDS	786				hypothetical protein
HFFIBJOL_00296	CDS	858				hypothetical protein
HFFIBJOL_00297	CDS	696				hypothetical protein
HFFIBJOL_00298	CDS	759				hypothetical protein
HFFIBJOL_00299	CDS	408				hypothetical protein
HFFIBJOL_00300	CDS	381				hypothetical protein
HFFIBJOL_00301	CDS	804				hypothetical protein
HFFIBJOL_00302	CDS	357				hypothetical protein
HFFIBJOL_00303	CDS	327				hypothetical protein
HFFIBJOL_00304	CDS	1788				hypothetical protein
HFFIBJOL_00305	CDS	612				hypothetical protein
HFFIBJOL_00306	CDS	801				hypothetical protein
HFFIBJOL_00307	CDS	426				hypothetical protein
HFFIBJOL_00308	CDS	741				hypothetical protein
HFFIBJOL_00309	CDS	1245				hypothetical protein
HFFIBJOL_00310	CDS	1122				hypothetical protein
HFFIBJOL_00311	CDS	303				hypothetical protein
HFFIBJOL_00312	CDS	624	arpA_2			A-factor receptor protein
HFFIBJOL_00313	CDS	282				hypothetical protein
HFFIBJOL_00314	CDS	225				hypothetical protein
HFFIBJOL_00315	CDS	1569				hypothetical protein
HFFIBJOL_00316	CDS	951				hypothetical protein
HFFIBJOL_00317	CDS	690				hypothetical protein
HFFIBJOL_00318	CDS	756				hypothetical protein
HFFIBJOL_00319	CDS	3726	narG_2	1.7.5.1	COG5013	Nitrate reductase alpha subunit
HFFIBJOL_00320	CDS	1641	narH	1.7.5.1	COG1140	Respiratory nitrate reductase 1 beta chain
HFFIBJOL_00321	CDS	627				hypothetical protein
HFFIBJOL_00322	CDS	792	narX_2		COG2180	Nitrate reductase-like protein NarX
HFFIBJOL_00323	CDS	1056				hypothetical protein
HFFIBJOL_00324	CDS	1065				hypothetical protein
HFFIBJOL_00325	CDS	492	liaR_1		COG2197	Transcriptional regulatory protein LiaR
HFFIBJOL_00326	CDS	1026				hypothetical protein
HFFIBJOL_00327	CDS	183				hypothetical protein
HFFIBJOL_00328	CDS	459				hypothetical protein
HFFIBJOL_00329	CDS	732				hypothetical protein
HFFIBJOL_00330	CDS	348				hypothetical protein
HFFIBJOL_00331	CDS	477				hypothetical protein
HFFIBJOL_00332	CDS	657				hypothetical protein
HFFIBJOL_00333	CDS	408				hypothetical protein
HFFIBJOL_00334	CDS	702				hypothetical protein
HFFIBJOL_00335	CDS	456				hypothetical protein
HFFIBJOL_00336	CDS	756			COG3039	IS5 family transposase IS1373
HFFIBJOL_00337	CDS	1242				hypothetical protein
HFFIBJOL_00338	CDS	732				hypothetical protein
HFFIBJOL_00339	CDS	1041				hypothetical protein
HFFIBJOL_00340	CDS	1428	plcN_1	3.1.4.3	COG3511	Non-hemolytic phospholipase C
HFFIBJOL_00341	CDS	654				hypothetical protein
HFFIBJOL_00342	CDS	339				hypothetical protein
HFFIBJOL_00343	CDS	948				hypothetical protein
HFFIBJOL_00344	CDS	615	ethR			HTH-type transcriptional regulator EthR
HFFIBJOL_00345	CDS	849				hypothetical protein
HFFIBJOL_00346	CDS	1254	ncsB3_1	1.14.15.31		2-hydroxy-5-methyl-1-naphthoate 7-hydroxylase
HFFIBJOL_00347	CDS	693	pytH_1	3.1.1.88		Pyrethroid hydrolase
HFFIBJOL_00348	CDS	210				hypothetical protein
HFFIBJOL_00349	CDS	1377	ddmA1_1	1.18.1.3		Dicamba O-demethylase 1, ferredoxin reductase component
HFFIBJOL_00350	CDS	1227		1.14.-.-	COG2124	Cytochrome P450 107B1
HFFIBJOL_00351	CDS	288				hypothetical protein
HFFIBJOL_00352	CDS	309				hypothetical protein
HFFIBJOL_00353	CDS	411				hypothetical protein
HFFIBJOL_00354	CDS	306				hypothetical protein
HFFIBJOL_00355	CDS	726	inhA_1	4.2.1.103		Isonitrile hydratase
HFFIBJOL_00356	CDS	702				hypothetical protein
HFFIBJOL_00357	CDS	438				hypothetical protein
HFFIBJOL_00358	CDS	396				hypothetical protein
HFFIBJOL_00359	CDS	432				18 kDa heat shock protein
HFFIBJOL_00360	CDS	474				hypothetical protein
HFFIBJOL_00361	CDS	282				hypothetical protein
HFFIBJOL_00362	CDS	144				hypothetical protein
HFFIBJOL_00363	CDS	186				hypothetical protein
HFFIBJOL_00364	CDS	363				hypothetical protein
HFFIBJOL_00365	CDS	342				hypothetical protein
HFFIBJOL_00366	CDS	345				hypothetical protein
HFFIBJOL_00367	CDS	810				hypothetical protein
HFFIBJOL_00368	CDS	216				hypothetical protein
HFFIBJOL_00369	CDS	243				hypothetical protein
HFFIBJOL_00370	CDS	2127	gtfA_1	2.4.1.-		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit
HFFIBJOL_00371	CDS	270				hypothetical protein
HFFIBJOL_00372	CDS	672	nreC_1		COG2197	Oxygen regulatory protein NreC
HFFIBJOL_00373	CDS	1128				hypothetical protein
HFFIBJOL_00374	CDS	174				hypothetical protein
HFFIBJOL_00375	CDS	1503	dadA_1	1.4.99.-		D-amino acid dehydrogenase
HFFIBJOL_00376	CDS	780	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
HFFIBJOL_00377	CDS	804				hypothetical protein
HFFIBJOL_00378	CDS	672				hypothetical protein
HFFIBJOL_00379	CDS	576				hypothetical protein
HFFIBJOL_00380	CDS	1827				hypothetical protein
HFFIBJOL_00381	CDS	1926				hypothetical protein
HFFIBJOL_00382	CDS	1173				hypothetical protein
HFFIBJOL_00383	CDS	897				hypothetical protein
HFFIBJOL_00384	CDS	1308	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
HFFIBJOL_00385	CDS	2124	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
HFFIBJOL_00386	CDS	510				hypothetical protein
HFFIBJOL_00387	CDS	513				hypothetical protein
HFFIBJOL_00388	CDS	1314				hypothetical protein
HFFIBJOL_00389	CDS	1056	chiD	3.2.1.14		Chitinase D
HFFIBJOL_00390	CDS	192				hypothetical protein
HFFIBJOL_00391	CDS	1737				hypothetical protein
HFFIBJOL_00392	CDS	1320	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HFFIBJOL_00393	CDS	294				hypothetical protein
HFFIBJOL_00394	CDS	972				hypothetical protein
HFFIBJOL_00395	CDS	333				hypothetical protein
HFFIBJOL_00396	CDS	1212				hypothetical protein
HFFIBJOL_00397	CDS	999				hypothetical protein
HFFIBJOL_00398	CDS	714	rnhA	3.1.26.4		Ribonuclease H
HFFIBJOL_00399	CDS	1422				hypothetical protein
HFFIBJOL_00400	CDS	1017	feaR		COG2207	Transcriptional activator FeaR
HFFIBJOL_00401	CDS	1116	gutB_1	1.1.1.-	COG1063	Sorbitol dehydrogenase
HFFIBJOL_00402	CDS	534				hypothetical protein
HFFIBJOL_00403	CDS	417				hypothetical protein
HFFIBJOL_00404	CDS	675				hypothetical protein
HFFIBJOL_00405	CDS	1188				hypothetical protein
HFFIBJOL_00406	CDS	1050	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
HFFIBJOL_00407	CDS	975	cdhR_2		COG4977	HTH-type transcriptional regulator CdhR
HFFIBJOL_00408	CDS	504	malT_1			HTH-type transcriptional regulator MalT
HFFIBJOL_00409	CDS	1458	mpdC	1.2.1.98		Hydroxyisobutyraldehyde dehydrogenase
HFFIBJOL_00410	CDS	1377				hypothetical protein
HFFIBJOL_00411	CDS	1359				hypothetical protein
HFFIBJOL_00412	CDS	1248				hypothetical protein
HFFIBJOL_00413	CDS	1104				hypothetical protein
HFFIBJOL_00414	CDS	768				hypothetical protein
HFFIBJOL_00415	CDS	729				hypothetical protein
HFFIBJOL_00416	CDS	1089				hypothetical protein
HFFIBJOL_00417	CDS	1086				hypothetical protein
HFFIBJOL_00418	CDS	387			COG0346	Virulence protein
HFFIBJOL_00419	CDS	174				hypothetical protein
HFFIBJOL_00420	CDS	1053	gmuF	5.3.1.8	COG1482	putative mannose-6-phosphate isomerase GmuF
HFFIBJOL_00421	CDS	1068	ispB_1	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
HFFIBJOL_00422	CDS	900				hypothetical protein
