locus_tag	ftype	length_bp	gene	EC_number	COG	product
FGFFFLIJ_00073	CDS	1620				hypothetical protein
FGFFFLIJ_00074	CDS	1131		3.4.16.4		D-alanyl-D-alanine carboxypeptidase
FGFFFLIJ_00075	CDS	1110	menC	4.2.1.113	COG4948	o-succinylbenzoate synthase
FGFFFLIJ_00076	CDS	774				hypothetical protein
FGFFFLIJ_00077	CDS	1083	cpg2_1	3.4.17.11		Carboxypeptidase G2
FGFFFLIJ_00078	CDS	1104				hypothetical protein
FGFFFLIJ_00079	CDS	549				hypothetical protein
FGFFFLIJ_00080	CDS	210				hypothetical protein
FGFFFLIJ_00081	CDS	477				putative protein
FGFFFLIJ_00082	CDS	825				hypothetical protein
FGFFFLIJ_00083	CDS	708				hypothetical protein
FGFFFLIJ_00084	CDS	879				hypothetical protein
FGFFFLIJ_00085	CDS	534				hypothetical protein
FGFFFLIJ_00086	CDS	717	glaR		COG1802	HTH-type transcriptional repressor GlaR
FGFFFLIJ_00087	CDS	1245		1.14.19.70		Mycocyclosin synthase
FGFFFLIJ_00088	CDS	1215	mycG_1	1.14.-.-		Mycinamicin IV hydroxylase/epoxidase
FGFFFLIJ_00089	CDS	3162	lgrD_1			Linear gramicidin synthase subunit D
FGFFFLIJ_00090	CDS	489				hypothetical protein
FGFFFLIJ_00091	CDS	1026				hypothetical protein
FGFFFLIJ_00092	CDS	396				hypothetical protein
FGFFFLIJ_00093	CDS	2211	mmpL3_1		COG2409	Trehalose monomycolate exporter MmpL3
FGFFFLIJ_00094	CDS	1875	asnO_1	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 3
FGFFFLIJ_00095	CDS	1218	fabF_1	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
FGFFFLIJ_00096	CDS	288	acpP_1			Acyl carrier protein
FGFFFLIJ_00097	CDS	1356	pksS_2	1.14.-.-	COG2124	Polyketide biosynthesis cytochrome P450 PksS
FGFFFLIJ_00098	CDS	447				hypothetical protein
FGFFFLIJ_00099	CDS	435				hypothetical protein
FGFFFLIJ_00100	CDS	3180				hypothetical protein
FGFFFLIJ_00101	CDS	1515				hypothetical protein
FGFFFLIJ_00102	CDS	1593				hypothetical protein
FGFFFLIJ_00103	CDS	1641	pnbA	3.1.1.-	COG2272	Para-nitrobenzyl esterase
FGFFFLIJ_00104	CDS	753				hypothetical protein
FGFFFLIJ_00105	CDS	657				hypothetical protein
FGFFFLIJ_00106	CDS	750	mshB_1	3.5.1.103		1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase
FGFFFLIJ_00107	CDS	1035				hypothetical protein
FGFFFLIJ_00108	CDS	351				hypothetical protein
FGFFFLIJ_00109	CDS	639				hypothetical protein
FGFFFLIJ_00110	CDS	4293	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
FGFFFLIJ_00111	CDS	2505				hypothetical protein
FGFFFLIJ_00112	CDS	927	rutD_1	3.5.1.-		Putative aminoacrylate hydrolase RutD
FGFFFLIJ_00113	CDS	735	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
FGFFFLIJ_00114	CDS	600				hypothetical protein
FGFFFLIJ_00115	CDS	192				hypothetical protein
FGFFFLIJ_00116	CDS	1188		1.8.98.-	COG0641	Anaerobic sulfatase-maturating enzyme
FGFFFLIJ_00117	CDS	516				hypothetical protein
FGFFFLIJ_00118	CDS	1671	argS_1	6.1.1.19	COG0018	Arginine--tRNA ligase
FGFFFLIJ_00119	CDS	195				hypothetical protein
FGFFFLIJ_00120	CDS	1077	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
FGFFFLIJ_00121	CDS	420				hypothetical protein
FGFFFLIJ_00122	CDS	567				hypothetical protein
FGFFFLIJ_00123	CDS	375				hypothetical protein
FGFFFLIJ_00124	CDS	573				hypothetical protein
FGFFFLIJ_00125	CDS	1710	yheS_1		COG0488	putative ABC transporter ATP-binding protein YheS
FGFFFLIJ_00126	CDS	1635	ybiT_1		COG0488	putative ABC transporter ATP-binding protein YbiT
FGFFFLIJ_00127	CDS	963		1.3.1.103		2-haloacrylate reductase
FGFFFLIJ_00128	CDS	600				hypothetical protein
FGFFFLIJ_00129	CDS	231				hypothetical protein
FGFFFLIJ_00130	CDS	150				hypothetical protein
FGFFFLIJ_00131	CDS	417	pi			Papain inhibitor
FGFFFLIJ_00132	CDS	1011	degA_1		COG1609	HTH-type transcriptional regulator DegA
FGFFFLIJ_00133	CDS	1368				hypothetical protein
FGFFFLIJ_00134	CDS	948	ngcF_1		COG1175	Diacetylchitobiose uptake system permease protein NgcF
FGFFFLIJ_00135	CDS	882	melC		COG0395	Melibiose/raffinose/stachyose import permease protein MelC
FGFFFLIJ_00136	CDS	1605	malL_1	3.2.1.10	COG0366	Oligo-1,6-glucosidase
FGFFFLIJ_00137	CDS	2496				hypothetical protein
FGFFFLIJ_00138	CDS	192				hypothetical protein
FGFFFLIJ_00139	CDS	939				hypothetical protein
FGFFFLIJ_00140	CDS	993	cdhR_1		COG4977	HTH-type transcriptional regulator CdhR
FGFFFLIJ_00141	CDS	630	rutB_1	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
FGFFFLIJ_00142	CDS	381				hypothetical protein
FGFFFLIJ_00143	CDS	657				hypothetical protein
FGFFFLIJ_00144	CDS	513				hypothetical protein
FGFFFLIJ_00145	CDS	1539				hypothetical protein
FGFFFLIJ_00146	CDS	741				hypothetical protein
FGFFFLIJ_00147	CDS	423				hypothetical protein
FGFFFLIJ_00148	CDS	933	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
FGFFFLIJ_00149	CDS	798	fucA	4.1.2.17		L-fuculose phosphate aldolase
FGFFFLIJ_00150	CDS	612				hypothetical protein
FGFFFLIJ_00151	CDS	1023	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
FGFFFLIJ_00152	CDS	621				putative HTH-type transcriptional regulator
FGFFFLIJ_00153	CDS	1221		1.14.-.-		Cytochrome P450 105A3
FGFFFLIJ_00154	CDS	192	suaB_1			Ferredoxin-1
FGFFFLIJ_00155	CDS	972	mshD_1	2.3.1.189		Mycothiol acetyltransferase
FGFFFLIJ_00156	CDS	390	blaZ	3.5.2.6		Beta-lactamase 3
FGFFFLIJ_00157	CDS	498			COG3039	IS5 family transposase ISBli8
FGFFFLIJ_00158	CDS	402				hypothetical protein
FGFFFLIJ_00159	CDS	1335				hypothetical protein
FGFFFLIJ_00160	CDS	693	nfnB	1.-.-.-	COG0778	Nitroreductase NfnB
FGFFFLIJ_00161	CDS	585				hypothetical protein
FGFFFLIJ_00162	CDS	1257	oatA	2.3.1.-		O-acetyltransferase OatA
FGFFFLIJ_00163	CDS	915				hypothetical protein
FGFFFLIJ_00164	CDS	345				hypothetical protein
FGFFFLIJ_00165	CDS	405				hypothetical protein
FGFFFLIJ_00166	CDS	720				hypothetical protein
FGFFFLIJ_00167	CDS	1014	novG_1			Transcriptional regulator NovG
FGFFFLIJ_00168	CDS	1665				hypothetical protein
FGFFFLIJ_00169	CDS	963		3.4.16.4		D-alanyl-D-alanine carboxypeptidase
FGFFFLIJ_00170	CDS	900				hypothetical protein
FGFFFLIJ_00171	CDS	585				hypothetical protein
FGFFFLIJ_00172	CDS	948	hemC_1	2.5.1.61	COG0181	Porphobilinogen deaminase
FGFFFLIJ_00173	CDS	270				hypothetical protein
FGFFFLIJ_00174	CDS	450		1.1.98.-		F420H(2)-dependent quinone reductase
FGFFFLIJ_00175	CDS	537				hypothetical protein
FGFFFLIJ_00176	CDS	873				hypothetical protein
FGFFFLIJ_00177	CDS	921	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
FGFFFLIJ_00178	CDS	429				hypothetical protein
FGFFFLIJ_00179	CDS	489				hypothetical protein
FGFFFLIJ_00180	CDS	1488	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
FGFFFLIJ_00181	CDS	825				hypothetical protein
FGFFFLIJ_00182	CDS	972		1.3.1.103		2-haloacrylate reductase
FGFFFLIJ_00183	CDS	612				hypothetical protein
FGFFFLIJ_00184	CDS	7647	hemL_1	5.4.3.8		Glutamate-1-semialdehyde 2,1-aminomutase
FGFFFLIJ_00185	CDS	3402	ppsE_1	2.3.1.41	COG3321	Phthiocerol synthesis polyketide synthase type I PpsE
FGFFFLIJ_00186	CDS	1284	entS_1			Enterobactin exporter EntS
FGFFFLIJ_00187	CDS	222				hypothetical protein
FGFFFLIJ_00188	CDS	1173				hypothetical protein
FGFFFLIJ_00189	CDS	150				hypothetical protein
FGFFFLIJ_00190	CDS	1551	carA2	1.3.99.29	COG1233	zeta-carotene-forming phytoene desaturase
FGFFFLIJ_00191	CDS	1953				hypothetical protein
FGFFFLIJ_00192	CDS	144				hypothetical protein
FGFFFLIJ_00193	CDS	1602	pds	1.3.5.5	COG3349	15-cis-phytoene desaturase
FGFFFLIJ_00194	CDS	1203				hypothetical protein
FGFFFLIJ_00195	CDS	312				hypothetical protein
FGFFFLIJ_00196	CDS	666	snpA_1	3.4.24.77		Extracellular small neutral protease
FGFFFLIJ_00197	CDS	888	ligD_1		COG1793	Multifunctional non-homologous end joining DNA repair protein LigD
FGFFFLIJ_00198	CDS	1101	ku_1			Non-homologous end joining protein Ku
FGFFFLIJ_00199	CDS	375	hslR		COG1188	Heat shock protein 15
FGFFFLIJ_00200	CDS	414				hypothetical protein
FGFFFLIJ_00201	CDS	975				hypothetical protein
FGFFFLIJ_00202	CDS	1218			COG3385	IS4 family transposase MICBce6
FGFFFLIJ_00203	CDS	201				hypothetical protein
FGFFFLIJ_00204	CDS	303				hypothetical protein
FGFFFLIJ_00205	CDS	270				hypothetical protein
FGFFFLIJ_00206	CDS	216	mbtH_1		COG3251	Protein MbtH
FGFFFLIJ_00207	tRNA	82				tRNA-Arg(tcg)
FGFFFLIJ_00208	CDS	894				hypothetical protein
FGFFFLIJ_00209	CDS	1629				hypothetical protein
FGFFFLIJ_00210	CDS	2142				hypothetical protein
FGFFFLIJ_00211	CDS	483				hypothetical protein
FGFFFLIJ_00212	CDS	1104				hypothetical protein
FGFFFLIJ_00213	CDS	1926				hypothetical protein
FGFFFLIJ_00214	CDS	231	scoF_1		COG1278	Cold shock protein ScoF
FGFFFLIJ_00215	CDS	201				putative protein
FGFFFLIJ_00216	CDS	1482				hypothetical protein
FGFFFLIJ_00217	CDS	417				hypothetical protein
FGFFFLIJ_00218	CDS	537	aacA4	2.3.1.82		Aminoglycoside N(6')-acetyltransferase type 1
FGFFFLIJ_00219	CDS	879				hypothetical protein
FGFFFLIJ_00220	CDS	756				hypothetical protein
FGFFFLIJ_00221	CDS	195				hypothetical protein
FGFFFLIJ_00222	CDS	1959				hypothetical protein
FGFFFLIJ_00223	CDS	741				hypothetical protein
FGFFFLIJ_00224	CDS	1503	hisC_2	2.6.1.9		Histidinol-phosphate aminotransferase
FGFFFLIJ_00225	CDS	723				hypothetical protein
FGFFFLIJ_00226	CDS	927	ssuD_1	1.14.14.5		Alkanesulfonate monooxygenase
FGFFFLIJ_00227	CDS	822	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
FGFFFLIJ_00228	CDS	384	rbpA_1			RNA polymerase-binding protein RbpA
FGFFFLIJ_00229	CDS	588				hypothetical protein
FGFFFLIJ_00230	CDS	369				hypothetical protein
FGFFFLIJ_00231	CDS	246				hypothetical protein
FGFFFLIJ_00232	CDS	966	fgd1_1	1.1.98.2	COG2141	F420-dependent glucose-6-phosphate dehydrogenase 1
FGFFFLIJ_00233	CDS	759	ppm1_1	2.4.1.-		Polyprenol monophosphomannose synthase
FGFFFLIJ_00234	CDS	1653	lnt_1	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
FGFFFLIJ_00235	CDS	1641	hutI_1	3.5.2.7		Imidazolonepropionase
FGFFFLIJ_00236	CDS	441	lrp_1		COG1522	Leucine-responsive regulatory protein
FGFFFLIJ_00237	CDS	510				hypothetical protein
FGFFFLIJ_00238	CDS	1101		2.7.1.-	COG3173	Putative aminoglycoside phosphotransferase
FGFFFLIJ_00239	CDS	1182				hypothetical protein
FGFFFLIJ_00240	CDS	1191	thrC_1	4.2.3.1	COG0498	Threonine synthase
FGFFFLIJ_00241	CDS	1173	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
FGFFFLIJ_00242	CDS	1272	chiC	3.2.1.14		Chitinase C
FGFFFLIJ_00243	CDS	921	tdh_1	1.1.1.103		L-threonine 3-dehydrogenase
FGFFFLIJ_00244	CDS	570				hypothetical protein
FGFFFLIJ_00245	CDS	834		3.4.21.4	COG5640	Trypsin
FGFFFLIJ_00246	CDS	357				hypothetical protein
FGFFFLIJ_00247	CDS	624				hypothetical protein
FGFFFLIJ_00248	CDS	1149				hypothetical protein
FGFFFLIJ_00249	CDS	1737	amiF	3.5.1.49		Formamidase
FGFFFLIJ_00250	CDS	1431	cbiA	6.3.5.11	COG1797	Cobyrinate a,c-diamide synthase
FGFFFLIJ_00251	CDS	675				hypothetical protein
FGFFFLIJ_00252	CDS	1308	eno_1	4.2.1.11		Enolase
FGFFFLIJ_00253	CDS	423			COG1846	putative HTH-type transcriptional regulator
FGFFFLIJ_00254	CDS	2631	lacZ_1	3.2.1.23		Beta-galactosidase
FGFFFLIJ_00255	CDS	660				hypothetical protein
FGFFFLIJ_00256	CDS	615				hypothetical protein
FGFFFLIJ_00257	CDS	1149				hypothetical protein
FGFFFLIJ_00258	CDS	924				hypothetical protein
FGFFFLIJ_00259	CDS	1260				hypothetical protein
FGFFFLIJ_00260	CDS	1524		1.2.1.3	COG1012	putative aldehyde dehydrogenase
FGFFFLIJ_00261	CDS	867				hypothetical protein
FGFFFLIJ_00262	CDS	1803				hypothetical protein
FGFFFLIJ_00263	CDS	495				hypothetical protein
FGFFFLIJ_00264	CDS	429				hypothetical protein
FGFFFLIJ_00265	CDS	129				hypothetical protein
FGFFFLIJ_00266	CDS	666				hypothetical protein
FGFFFLIJ_00267	CDS	948				hypothetical protein
FGFFFLIJ_00268	CDS	357				hypothetical protein
FGFFFLIJ_00269	CDS	204	scoF_2		COG1278	Cold shock protein ScoF
FGFFFLIJ_00270	CDS	711				hypothetical protein
FGFFFLIJ_00271	CDS	804				hypothetical protein
FGFFFLIJ_00272	CDS	270				hypothetical protein
FGFFFLIJ_00273	CDS	339				hypothetical protein
FGFFFLIJ_00274	CDS	390				hypothetical protein
FGFFFLIJ_00275	CDS	408				hypothetical protein
FGFFFLIJ_00276	CDS	627	fldP_1			Flavodoxin FldP
FGFFFLIJ_00277	CDS	534		2.3.1.-	COG1670	Acetyltransferase
FGFFFLIJ_00278	CDS	3840				hypothetical protein
FGFFFLIJ_00279	CDS	5583	pikAI	2.3.1.239		Narbonolide/10-deoxymethynolide synthase PikA1, modules 1 and 2
FGFFFLIJ_00280	CDS	1263	bioI_1	1.14.14.46	COG2124	Biotin biosynthesis cytochrome P450
FGFFFLIJ_00281	CDS	9540				hypothetical protein
FGFFFLIJ_00282	CDS	1206		1.14.-.-		Cytochrome P450 105A3
FGFFFLIJ_00283	CDS	720	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
FGFFFLIJ_00284	CDS	804				hypothetical protein
FGFFFLIJ_00285	CDS	309				hypothetical protein
FGFFFLIJ_00286	CDS	309				hypothetical protein
FGFFFLIJ_00287	CDS	273				hypothetical protein
FGFFFLIJ_00288	CDS	585				hypothetical protein
FGFFFLIJ_00289	CDS	1734	dosT_1	2.7.13.3	COG2203	Oxygen sensor histidine kinase response regulator DosT
FGFFFLIJ_00290	CDS	2049	kimA_1		COG0531	Potassium transporter KimA
FGFFFLIJ_00291	CDS	1470	dap_1	3.4.11.19		D-aminopeptidase
FGFFFLIJ_00292	CDS	843	ppk2	2.7.4.-	COG2326	Polyphosphate:GDP phosphotransferase
FGFFFLIJ_00293	CDS	1176				hypothetical protein
FGFFFLIJ_00294	CDS	477				hypothetical protein
FGFFFLIJ_00295	CDS	819	asrB		COG0543	Anaerobic sulfite reductase subunit B
FGFFFLIJ_00296	CDS	786				hypothetical protein
FGFFFLIJ_00297	CDS	1401	hoxH	1.12.1.2		NAD-reducing hydrogenase HoxS subunit beta
FGFFFLIJ_00298	CDS	684				hypothetical protein
FGFFFLIJ_00299	CDS	1113	hypD		COG0409	Hydrogenase maturation factor HypD
FGFFFLIJ_00300	CDS	1032	hypE	4.2.1.-		Carbamoyl dehydratase HypE
FGFFFLIJ_00301	CDS	552				hypothetical protein
FGFFFLIJ_00302	CDS	708	devR_1		COG2197	DNA-binding transcriptional activator DevR/DosR
FGFFFLIJ_00303	CDS	882			COG0589	Universal stress protein
FGFFFLIJ_00304	CDS	540				hypothetical protein
FGFFFLIJ_00305	CDS	2331	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
FGFFFLIJ_00306	CDS	285				hypothetical protein
FGFFFLIJ_00307	CDS	840			COG0637	putative protein
FGFFFLIJ_00308	CDS	2694				hypothetical protein
FGFFFLIJ_00309	CDS	897			COG0589	Universal stress protein
FGFFFLIJ_00310	CDS	729	IMPDH_1	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
FGFFFLIJ_00311	CDS	543				hypothetical protein
FGFFFLIJ_00312	CDS	885	pcm_2	2.1.1.77		Protein-L-isoaspartate O-methyltransferase
FGFFFLIJ_00313	CDS	123				hypothetical protein
FGFFFLIJ_00314	CDS	2742		7.2.2.10		Calcium-transporting ATPase 1
FGFFFLIJ_00315	CDS	990		2.7.4.1	COG2326	Polyphosphate:ADP phosphotransferase
FGFFFLIJ_00316	CDS	537		3.1.3.-	COG2062	putative protein
FGFFFLIJ_00317	CDS	552				hypothetical protein
FGFFFLIJ_00318	CDS	420				hypothetical protein
FGFFFLIJ_00319	CDS	1785				hypothetical protein
FGFFFLIJ_00320	CDS	744				hypothetical protein
FGFFFLIJ_00321	CDS	480	nicR_1		COG1846	HTH-type transcriptional repressor NicR
FGFFFLIJ_00322	CDS	750				hypothetical protein
FGFFFLIJ_00323	CDS	810				hypothetical protein
FGFFFLIJ_00324	CDS	714		1.1.1.119	COG1028	Glucose 1-dehydrogenase
FGFFFLIJ_00325	CDS	1029				hypothetical protein
FGFFFLIJ_00326	CDS	279				hypothetical protein
FGFFFLIJ_00327	CDS	417				hypothetical protein
FGFFFLIJ_00328	CDS	1134				hypothetical protein
FGFFFLIJ_00329	CDS	303				hypothetical protein
FGFFFLIJ_00330	CDS	1197	lcp	1.13.-.-		Rubber oxygenase
FGFFFLIJ_00331	CDS	1074	ispB_1	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
FGFFFLIJ_00332	tRNA	83				tRNA-Ala(ggc)
FGFFFLIJ_00333	CDS	576	sigL_1		COG1595	ECF RNA polymerase sigma factor SigL
FGFFFLIJ_00334	CDS	762	glpR_1		COG1349	Glycerol-3-phosphate regulon repressor
FGFFFLIJ_00335	CDS	642				hypothetical protein
FGFFFLIJ_00336	CDS	225		2.4.2.-	COG2071	Putative glutamine amidotransferase
FGFFFLIJ_00337	CDS	594				hypothetical protein
FGFFFLIJ_00338	CDS	252				hypothetical protein
FGFFFLIJ_00339	CDS	813	menH_2	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
FGFFFLIJ_00340	CDS	402				hypothetical protein
FGFFFLIJ_00341	CDS	1347	ccrA2	1.3.1.86	COG0604	Crotonyl-CoA reductase
FGFFFLIJ_00342	CDS	1680				IS1182 family transposase ISSdi1
FGFFFLIJ_00343	CDS	5211	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
FGFFFLIJ_00344	CDS	192	suaB_2			Ferredoxin-1
FGFFFLIJ_00345	CDS	1263		1.14.15.11	COG2124	Pentalenic acid synthase
FGFFFLIJ_00346	CDS	1059	per_1	2.6.1.102	COG0399	GDP-perosamine synthase
FGFFFLIJ_00347	CDS	1383				hypothetical protein
FGFFFLIJ_00348	CDS	1650	choA	1.1.3.6		Cholesterol oxidase
FGFFFLIJ_00349	CDS	1125				hypothetical protein
FGFFFLIJ_00350	CDS	20355	fadA_1	2.3.1.16		3-ketoacyl-CoA thiolase
FGFFFLIJ_00351	CDS	12177	fadA_2	2.3.1.16		3-ketoacyl-CoA thiolase
FGFFFLIJ_00352	CDS	6396		2.3.1.41	COG3321	Phenolphthiocerol synthesis polyketide synthase type I Pks15/1
FGFFFLIJ_00353	CDS	28422	fadA_3	2.3.1.16		3-ketoacyl-CoA thiolase
FGFFFLIJ_00354	CDS	762				hypothetical protein
FGFFFLIJ_00355	CDS	2757				hypothetical protein
FGFFFLIJ_00356	CDS	2817				hypothetical protein
FGFFFLIJ_00357	CDS	2904				hypothetical protein
FGFFFLIJ_00358	CDS	768	pikAV_1	3.1.2.-		Thioesterase PikA5
FGFFFLIJ_00359	CDS	1032	gmd	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
FGFFFLIJ_00360	CDS	276				hypothetical protein
FGFFFLIJ_00361	CDS	1728				hypothetical protein
FGFFFLIJ_00362	CDS	1524				hypothetical protein
FGFFFLIJ_00363	CDS	834		3.1.1.2		Arylesterase
FGFFFLIJ_00364	CDS	489				hypothetical protein
FGFFFLIJ_00365	CDS	963	sigJ_1			ECF RNA polymerase sigma factor SigJ
FGFFFLIJ_00366	CDS	1176	pobA	1.14.13.2		p-hydroxybenzoate hydroxylase
FGFFFLIJ_00367	CDS	774	nimR_1			HTH-type transcriptional regulator NimR
FGFFFLIJ_00368	CDS	2925	htpX_1	3.4.24.-		Protease HtpX
FGFFFLIJ_00369	CDS	597				hypothetical protein
FGFFFLIJ_00370	CDS	1341	cypB_1		COG0369	Bifunctional cytochrome P450/NADPH--P450 reductase 2
FGFFFLIJ_00371	CDS	972	yfiY_1		COG0614	putative siderophore-binding lipoprotein YfiY
FGFFFLIJ_00372	CDS	1338	fes_1		COG2382	Enterochelin esterase
FGFFFLIJ_00373	CDS	1161	elmGT_1	2.4.1.331		Elloramycin glycosyltransferase ElmGT
FGFFFLIJ_00374	CDS	3564		3.6.3.-		Multidrug efflux ATP-binding/permease protein
FGFFFLIJ_00375	CDS	1068	cugP_1	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
FGFFFLIJ_00376	CDS	999	strE_1	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
FGFFFLIJ_00377	CDS	888	strL	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
FGFFFLIJ_00378	CDS	603	strM	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
FGFFFLIJ_00379	CDS	1053	fepD_1		COG0609	Ferric enterobactin transport system permease protein FepD
FGFFFLIJ_00380	CDS	1074	fepG_1		COG4779	Ferric enterobactin transport system permease protein FepG
